timestamp,screen_index,image_name,choice,left_model_key,right_model_key,left_is_correct,right_is_correct,followup_enqueued,followup_left_model_key,followup_right_model_key,leader_key_after,leader_prob_after,left_inference_ms,right_inference_ms
2026-02-20T15:33:09.440343,154,641858656.jpeg,both_correct,rfdetr-small,yolo11l,1,1,,,,yolo26m,0.143800,433.418,1182.258
2026-02-20T15:33:12.484868,155,641877459.jpeg,both_correct,yolo26l,rtdetrv3-r18,1,1,,,,yolo26m,0.144800,620.444,2145.559
2026-02-20T15:33:13.808921,156,641869775.jpeg,both_correct,yolo11l,yolov10s,1,1,,,,yolo11m,0.145600,632.405,247.461
2026-02-20T15:33:14.770614,157,641885783.jpeg,both_correct,yolo11l,yolov10n,1,1,,,,yolo26m,0.145350,533.667,160.736
2026-02-20T15:33:15.878408,158,641884776.jpg,both_correct,yolo11x,rtdetrv2-x,1,1,,,,yolo11m,0.146500,1023.685,1959.434
2026-02-20T15:33:21.938332,159,641896091.jpg,left,rtdetrv2-x,dino15-proxy,1,0,yes,rtdetrv2-x,yolo26m,yolo11m,0.144000,1979.444,0.000
2026-02-20T15:33:25.723867,160,641895788.jpeg,left,yolo26n,rfdetr-small,1,0,yes,yolo26s,yolo26n,yolo11m,0.156050,217.011,307.035
2026-02-20T15:33:27.027980,161,641854538.jpg,both_correct,yolo26s,yolov10n,1,1,,,,yolo26m,0.156050,651.329,251.843
2026-02-20T15:33:32.896764,162,641917482.jpg,right,yolo11s,yolo11n,0,1,yes,yolo11n,rfdetr-2xlarge,yolo26m,0.159600,241.481,126.751
2026-02-20T15:33:37.457467,163,641910531.jpeg,left,yolov10l,yolo26l,1,0,yes,yolov10l,rfdetr-medium,yolo26m,0.153000,785.004,542.792
2026-02-20T15:33:40.874938,164,641896091.jpg,right,rtdetrv2-x,yolo26m,0,1,depth_limit,,,yolo26m,0.174500,2448.966,591.978
2026-02-20T15:33:53.533877,165,641895788.jpeg,right,yolo26s,yolo26n,0,1,depth_limit,,,yolo26m,0.175400,285.405,189.003
2026-02-20T15:34:06.111136,166,641866088.jpeg,right,yolo26s,rfdetr-small,0,1,yes,rtdetrv2-l,rfdetr-small,yolo26m,0.174550,196.159,219.538
2026-02-20T15:34:13.662432,167,641917482.jpg,right,yolo11n,rfdetr-2xlarge,0,1,depth_limit,,,yolo26m,0.171000,140.774,1108.957
2026-02-20T15:34:15.969563,168,641910531.jpeg,left,yolov10l,rfdetr-medium,1,0,depth_limit,,,yolo26m,0.167200,655.946,351.466
2026-02-20T15:34:22.037584,169,641859707.jpg,both_wrong,yolo11m,rtdetr-l,0,0,,,,yolo26m,0.163150,443.922,1121.750
2026-02-20T15:34:27.174216,170,641895478.png,left,rtdetrv3-r50,yolo11l,1,0,yes,rtdetrv3-r50,dino15-proxy,yolo26m,0.171050,1659.352,542.647
2026-02-20T15:34:28.990665,171,641866088.jpeg,left,rtdetrv2-l,rfdetr-small,1,0,depth_limit,,,yolo26m,0.174400,1415.229,175.861
2026-02-20T15:34:31.218011,172,641848585.jpg,both_wrong,rtdetrv2-x,yolo11n,0,0,,,,yolo26m,0.175800,2302.795,142.023
2026-02-20T15:34:32.649392,173,641858663.jpeg,both_correct,yolov10m,rtdetr-x,1,1,,,,yolo26m,0.171800,758.531,3886.828
2026-02-20T15:34:43.541444,174,641873324.jpg,right,rfdetr-small,rtdetrv3-r101,0,1,yes,rtdetr-l,rtdetrv3-r101,yolo26m,0.172200,343.310,3038.941
2026-02-20T15:34:44.705876,175,641895478.png,left,rtdetrv3-r50,dino15-proxy,1,0,depth_limit,,,yolo26m,0.175100,1254.433,0.000
2026-02-20T15:34:45.721346,176,641866438.jpeg,left,yolov10x,yolo26m,1,0,yes,rtdetrv3-r18,yolov10x,rtdetrv2-l,0.165850,2007.509,551.171
